imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0000574,The Story of the Kelly Gang,The Story of the Kelly Gang,1906,12/26/1906,"Biography, Crime, Drama",70,Australia,,Charles Tait,Charles Tait,J. and N. Tait,"Elizabeth Tait, John Tait, Norman Campbell, Bella Cola, Will Coyne, Sam Crewes, Jack Ennis, John Forde, Vera Linden, Mr. Marshall, Mr. McKenzie, Frank Mills, Ollie Wilson",True story of notorious Australian outlaw Ned Kelly (1855-80).,6.1,537,"$2,250 ",,,,7,7
tt0011960,Die Bergkatze,Die Bergkatze,1921,08/05/21,"Comedy, Drama, Romance",79,Germany,,Ernst Lubitsch,"Hanns Kräly, Ernst Lubitsch",Projektions-AG Union (PAGU),"Pola Negri, Victor Janson, Paul Heidemann, Wilhelm Diegelmann, Hermann Thimig, Edith Meller, Marga Köhler, Paul Graetz, Max Gronert, Erwin Kopp, Paul Biensfeldt","A charismatic lieutenant newly assigned to a remote fort is captured by a group of mountain bandits, thus setting in motion a madcap farce that is Lubitsch at his most unrestrained.",7,973,,,,,11,15
